,NAME_x,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_010E,B03002_011E,B03002_012E,B03002_013E,B03002_014E,tract,block group,S0601_C01_047E,S1501_C01_006E,S1501_C01_014E,S1501_C01_015E,S2801_C01_001E,S2801_C01_002E,S2801_C01_012E,pct_white,pct_black,pct_native,pct_asian,pct_hisp,pct_other,median_income,pct_college,pct_hs_grad,pct_device_access,pct_internet_access,GEOID,GEOID_tract
56,"Block Group 3, Census Tract 4358, Alameda County, California",1510,840,488,26,0,184,0,0,142,10,132,670,342,0,435800,3,40507,3828,3174,1027,1652,1605,1562,0.32317880794701986,0.017218543046357615,0.0,0.12185430463576159,0.44370860927152317,0.1880794701986755,40507,0.26828631138975967,0.829153605015674,0.9715496368038741,0.9455205811138014,60014358003,6001435800
57,"Block Group 1, Census Tract 4359, Alameda County, California",1743,1183,562,98,0,511,0,12,0,0,0,560,417,26,435900,1,38542,3830,3262,1087,1633,1498,1442,0.32243258749282844,0.05622489959839357,0.0,0.2931726907630522,0.321285140562249,0.0068846815834767644,38542,0.2838120104438642,0.8516971279373368,0.9173300673606859,0.8830373545621556,60014359001,6001435900
58,"Block Group 4, Census Tract 4359, Alameda County, California",732,453,234,32,0,117,11,17,42,0,42,279,62,0,435900,4,38542,3830,3262,1087,1633,1498,1442,0.319672131147541,0.04371584699453552,0.0,0.1598360655737705,0.38114754098360654,0.15300546448087432,38542,0.2838120104438642,0.8516971279373368,0.9173300673606859,0.8830373545621556,60014359004,6001435900
59,"Block Group 2, Census Tract 4359, Alameda County, California",1899,1361,502,55,0,738,26,0,40,0,40,538,311,0,435900,2,38542,3830,3262,1087,1633,1498,1442,0.2643496577145866,0.028962611901000527,0.0,0.3886255924170616,0.2833070036861506,0.055818852027382834,38542,0.2838120104438642,0.8516971279373368,0.9173300673606859,0.8830373545621556,60014359002,6001435900
60,"Block Group 3, Census Tract 4359, Alameda County, California",997,604,239,0,0,299,20,0,46,0,46,393,310,0,435900,3,38542,3830,3262,1087,1633,1498,1442,0.23971915747241726,0.0,0.0,0.29989969909729186,0.39418254764292876,0.1123370110330993,38542,0.2838120104438642,0.8516971279373368,0.9173300673606859,0.8830373545621556,60014359003,6001435900
61,"Block Group 1, Census Tract 4365, Alameda County, California",2206,1110,213,254,0,385,81,0,177,0,177,1096,539,0,436500,1,40952,3410,2858,1088,1722,1616,1531,0.09655485040797825,0.11514052583862194,0.0,0.17452402538531278,0.4968268359020852,0.1971894832275612,40952,0.31906158357771264,0.8381231671554252,0.9384436701509872,0.889082462253194,60014365001,6001436500
62,"Block Group 2, Census Tract 4365, Alameda County, California",3169,1870,586,261,4,765,119,0,135,0,135,1299,690,8,436500,2,40952,3410,2858,1088,1722,1616,1531,0.1849163774061218,0.08236036604607132,0.0012622278321236984,0.2414010728936573,0.40990848848217104,0.12275165667402967,40952,0.31906158357771264,0.8381231671554252,0.9384436701509872,0.889082462253194,60014365002,6001436500
63,"Block Group 1, Census Tract 4367, Alameda County, California",1514,867,231,167,0,367,0,0,102,0,102,647,380,8,436700,1,36000,2242,1946,567,1088,983,943,0.1525759577278732,0.11030383091149273,0.0,0.24240422721268165,0.4273447820343461,0.13474240422721268,36000,0.2528991971454059,0.8679750223015165,0.9034926470588235,0.8667279411764706,60014367001,6001436700
64,"Block Group 2, Census Tract 4367, Alameda County, California",1751,816,426,27,0,329,14,0,20,0,20,935,523,0,436700,2,36000,2242,1946,567,1088,983,943,0.24328954882924042,0.015419760137064534,0.0,0.18789263278126786,0.5339805825242718,0.03083952027412907,36000,0.2528991971454059,0.8679750223015165,0.9034926470588235,0.8667279411764706,60014367002,6001436700
65,"Block Group 2, Census Tract 4369, Alameda County, California",1010,645,133,259,5,248,0,0,0,0,0,365,138,0,436900,2,33163,4286,3233,1005,1885,1789,1634,0.1316831683168317,0.25643564356435644,0.0049504950495049506,0.24554455445544554,0.3613861386138614,0.0,33163,0.23448436770881942,0.7543163789080728,0.9490716180371352,0.86684350132626,60014369002,6001436900
