Countyfp,Blkgrpce,Funcstat,Geoid,Latitude,Longitude,Mtfcc,Namelsad,Statefp,Tractce,Aland,Awater,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
1,3,S,60014100003,37.7525929,-122.1412317,G5030,Block Group 3,6,410000,1556176,0,37.749524,-122.137424,0.95,nearest_street,64,Edgemont Way,,,Oakland,CA,Alameda County,94605,US,TIGER/Line® dataset from the US Census Bureau
1,1,S,60014101001,37.7505798,-122.1561119,G5030,Block Group 1,6,410100,328700,0,37.750706,-122.156077,1,rooftop,2570,98th Ave,,,Oakland,CA,Alameda County,94605,US,Alameda
1,2,S,60014101002,37.7459053,-122.1516669,G5030,Block Group 2,6,410100,455737,0,37.746041,-122.151624,1,rooftop,10320,Shaw St,,,Oakland,CA,Alameda County,94605,US,Alameda
1,2,S,60014102002,37.7437283,-122.1560801,G5030,Block Group 2,6,410200,164563,0,37.743716,-122.156214,1,rooftop,10316,Longfellow Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
1,3,S,60014102003,37.7409878,-122.1532464,G5030,Block Group 3,6,410200,155731,0,37.740846,-122.153207,1,rooftop,2374,108th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
1,1,S,60014103001,37.7483172,-122.1637669,G5030,Block Group 1,6,410300,171700,0,37.748342,-122.163685,1,rooftop,9711,Sunnyside St,,,Oakland,CA,Alameda County,94603,US,Alameda
1,2,S,60014103002,37.7463439,-122.1652271,G5030,Block Group 2,6,410300,207247,0,37.746049,-122.165175,1,rooftop,1800,98th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
1,2,S,60014100002,37.7455903,-122.1343439,G5030,Block Group 2,6,410000,2468191,0,37.745414,-122.134133,1,rooftop,11233,Kerrigan Dr,,,Oakland,CA,Alameda County,94605,US,Alameda
1,1,S,60014215001,37.8943823,-122.256187,G5030,Block Group 1,6,421500,663969,0,37.894426,-122.256286,1,rooftop,1020,Middlefield Rd,,,Berkeley,CA,Alameda County,94708,US,Alameda
1,1,S,60014042001,37.8399182,-122.2280405,G5030,Block Group 1,6,404200,414198,0,37.839931,-122.227863,1,rooftop,190,Modoc Ave,,,Oakland,CA,Alameda County,94618,US,Alameda
1,2,S,60014223002,37.8740621,-122.2779418,G5030,Block Group 2,6,422300,241982,0,37.874096,-122.278102,1,rooftop,1734,McGee Ave,,,Berkeley,CA,Alameda County,94703,US,Alameda
1,2,S,60014048002,37.8067164,-122.2139291,G5030,Block Group 2,6,404800,378242,0,37.806605,-122.213906,1,rooftop,3929,Lyman Rd,,,Oakland,CA,Alameda County,94602,US,Alameda
